team;fifa_rank;total_fifa_points;home_team_score;team_result;goalkeeper_score;mean_defense_score;mean_offense_score;mean_midfield_score
Tunisia;40;710;5;1;;71.5;68.7;75
Jordan;86;398;1;1;;;;
Zimbabwe;108;321;1;0;;;69;68.5
Mali;63;551;0;0;72;70.5;74;75
Libya;81;426;0;-1;;;;
Côte d'Ivoire;19;950;3;1;70;77.5;80.7;78.8
Congo DR;60;580;2;1;68;73.2;75.3;74
Mali;63;551;2;1;72;70.5;74;75
Iceland;36;760;2;-1;65;70;73;74.2
Guinea;49;623;0;0;;70.8;70.7;75
Guinea;49;623;1;-1;;70.8;70.7;75
Côte d'Ivoire;28;827;0;-1;70;77.5;80.7;78.8
Lebanon;140;245;0;-1;58;;;
Mali;68;510;0;-1;72;70.5;74;75
Côte d'Ivoire;28;827;2;1;70;77.5;80.7;78.8
Lebanon;140;245;0;-1;58;;;
Suriname;190;56;0;-1;68;66.5;66;
Burkina Faso;85;402;0;-1;;69;66.7;74
Syria;123;279;1;1;;;;
Bangladesh;177;99;1;-1;;;;
Bermuda;164;134;1;-1;57;;;
Aruba;113;298;1;-1;;;;
Curaçao;151;192;0;-1;73;66.2;66.7;
Tanzania;125;276;1;1;;;;
Israel;67;505;0;-1;64;;72.7;72.5
Kenya;103;330;0;-1;68;;;
Serbia;50;595;0;-1;75;80.8;78.3;80
Lithuania;128;273;0;-1;74;;;
Libya;107;318;1;-1;;;;
North Macedonia;138;256;0;-1;63;66.2;72;68.2
Benin;77;463;2;1;66;68.5;67.3;68.8
Congo;59;563;1;0;65;69.2;71.3;69.2
Tajikistan;150;192;0;-1;;;;
Yemen;175;112;0;-1;;;;
Colombia;8;1215;3;1;78;76.8;83;80.5
Argentina;2;1456;2;1;79;82.5;88.7;84
Maldives;158;161;0;-1;;;;
Botswana;92;370;0;-1;;;;
Scotland;45;617;1;1;76;73.2;74.7;75.5
Iceland;38;741;1;-1;65;70;73;74.2
Liberia;101;332;1;1;;;63.3;
Paraguay;43;641;2;0;75;74.5;76.7;74.8
Norway;51;593;0;0;73;73.2;74.3;74.8
Mozambique;100;336;1;-1;63;;;
Montenegro;84;408;1;-1;53;74;71.3;65.8
India;160;142;0;-1;65;57.8;61;57.5
Thailand;118;288;2;0;;;;
Spain;3;1373;1;0;86;84.5;83.3;87.2
Afghanistan;151;191;0;-1;;;;
Bangladesh;177;99;0;-1;;;;
Lebanon;145;214;0;-1;58;;;
Central African Republic;110;302;1;0;60;;;
Moldova;156;164;0;0;63;;;
Guam;154;168;0;-1;;;;
Venezuela;75;479;2;0;71;74.5;77;71.8
Hong Kong;139;253;0;-1;;;;
Malaysia;166;128;0;-1;;;;
Myanmar;154;168;1;-1;;;;
Papua New Guinea;202;4;0;-1;;;;
Cambodia;183;79;0;-1;;;;
Sweden;34;769;1;-1;73;77;80.7;76.8
Cyprus;79;442;0;-1;;;;
Palestine;117;290;0;-1;;;;
Philippines;135;263;0;-1;63;;;
Chinese Taipei;181;80;1;-1;;;;
Northern Ireland;28;833;1;0;68;74.2;67.7;72.2
Ethiopia;120;285;1;-1;;;;
Belarus;64;517;0;0;70;67;;70
Uruguay;11;1082;2;0;82;81;84;77
Mexico;22;902;3;1;80;76;79.3;78.5
Honduras;89;375;2;0;;72;64.3;68.5
Sierra Leone;115;296;1;-1;;;71.3;
USA;30;791;0;-1;80;76.2;75.7;76.8
Malawi;104;329;0;0;;;;
Panama;55;576;0;0;;;66.7;
Switzerland;12;1070;0;-1;82;80;78;79
Sudan;135;263;0;-1;;;;
Costa Rica;33;784;1;0;79;74.8;71.7;73.2
Bosnia and Herzegovina;21;917;3;1;82;76.5;74.7;77.5
Equatorial Guinea;76;478;0;-1;63;;;
Gambia;164;135;1;-1;;66.8;65.7;
France;24;871;3;1;85;82.8;84.3;85
Egypt;53;589;1;0;72;68.2;74;75.2
Bulgaria;70;499;1;1;72;68.8;68;74.5
Latvia;98;340;0;0;66;;;64.5
Zimbabwe;131;270;1;0;;;69;68.5
Togo;101;332;0;-1;76;;72;63
Puerto Rico;170;127;4;1;66;;;
St. Kitts and Nevis;121;283;2;1;;;;
Albania;35;753;1;-1;73;70.8;69.7;72
Kazakhstan;125;275;1;1;;;;
Dominica;176;109;7;1;;;;
Uganda;67;506;0;-1;;;;
Namibia;133;265;3;1;;;;
South Africa;70;499;2;0;78;73.8;71.7;76
Morocco;81;423;1;1;70;77;74.7;78.8
Angola;109;305;1;-1;;61;70.3;
Dominican Republic;159;149;1;-1;;;;
England;9;1111;3;1;84;83;81;83.2
Croatia;18;965;1;0;81;78.8;78.3;81.5
Rwanda;85;396;0;-1;;;;
Finland;46;615;0;-1;72;71.5;69;76
Lithuania;128;273;0;-1;74;;;
Niger;108;312;0;-1;;;;
Lesotho;153;185;0;-1;;;;
South Sudan;140;245;1;-1;;;;
Comoros;173;119;1;-1;;;;
Zambia;78;456;1;0;;;;
Guinea-Bissau;147;207;1;1;;;70.3;68
Ghana;41;655;0;0;70;74.8;75;78
Spain;3;1373;0;0;86;84.5;83.3;87.2
Korea Republic;57;565;1;1;75;73.5;75.3;73.5
Moldova;156;164;1;1;63;;;
Madagascar;130;271;1;-1;;;;
Mali;73;490;1;1;72;70.5;74;75
São Tomé and Príncipe;174;117;0;-1;;;;
Faroe Islands;93;357;3;1;;;;
Slovenia;54;577;0;-1;83;75.8;73;76.5
Gabon;83;412;0;-1;67;70.8;;72.5
Wales;17;983;0;-1;73;76.5;75;76.2
Singapore;148;198;1;-1;;;;
Congo DR;58;565;2;1;68;73.2;75.3;74
Bolivia;72;498;0;-1;63;66.2;68;67.5
Jordan;82;413;1;-1;;;;
Turkey;20;942;2;1;80;78.2;77.3;81
Qatar;80;440;0;-1;;;;
Ecuador;13;1038;0;-1;72;69.2;76;76.5
Jamaica;52;593;0;-1;67;71.5;69.7;69.5
Barbados;143;227;0;-1;;;;
Nigeria;62;546;0;-1;81;72;77.7;76
Netherlands;15;997;2;1;82;79.5;85.3;81.2
Serbia;50;595;1;1;75;80.8;78.3;80
Algeria;37;742;3;0;68;76.2;79;76.8
Russia;23;891;2;-1;81;78.8;76;79.8
Mauritania;106;319;0;0;;;;
Kazakhstan;125;275;1;0;;;;
Italy;14;999;1;-1;84;83.8;81.7;83.8
Iceland;38;741;3;1;65;70;73;74.2
El Salvador;99;340;0;-1;;;;
Turkmenistan;113;298;2;1;;;;
Oman;97;341;0;-1;71;;;
Vietnam;146;209;0;-1;;;;
Slovakia;26;857;2;0;72;77;69.3;76
Syria;123;279;0;-1;;;;
Myanmar;154;168;1;0;;;;
Seychelles;191;56;1;-1;;;;
Djibouti;204;0;0;-1;;;;
Albania;35;753;2;1;73;70.8;69.7;72
Bulgaria;70;499;2;1;72;68.8;68;74.5
Guinea;63;540;2;1;;70.8;70.7;75
Macau;195;44;0;0;;;;
Bhutan;193;49;2;-1;;;;
Canada;87;384;0;-1;63;67.5;66.3;71.8
Belarus;64;517;0;0;70;67;;70
Cabo Verde;31;789;0;-1;61;69;74.3;69.8
Burundi;129;273;3;1;;;;
Senegal;48;603;2;1;68;78;78;76.8
Finland;46;615;0;-1;72;71.5;69;76
Timor-Leste;170;127;0;-1;;;;
Haiti;64;516;0;-1;75;;;66.5
Brazil;6;1254;2;0;83;85.2;84.7;83.2
Korea DPR;94;355;2;-1;;;;
Belgium;1;1505;1;-1;86;82;81.3;84.8
Mauritius;172;120;0;-1;;;;
Denmark;40;705;0;-1;76;78.8;76;78.8
Cameroon;61;550;0;0;78;79.8;78.7;76
Antigua and Barbuda;90;372;0;-1;;;;
Côte d'Ivoire;36;743;1;0;70;77.5;80.7;78.8
Czech Republic;25;861;1;0;85;75.5;73.7;76.2
Bosnia and Herzegovina;21;917;2;1;82;76.5;74.7;77.5
Kyrgyz Republic;105;324;1;1;70;;;
Tunisia;47;609;0;0;;71.5;68.7;75
Burkina Faso;86;392;0;0;;69;66.7;74
Saudi Arabia;60;562;1;0;72;73.8;75.3;73.8
Peru;42;646;0;-1;73;73.5;72.3;73
Guatemala;95;353;0;-1;68;;;
Bahrain;132;269;0;-1;;;;
Chile;5;1307;4;1;83;76.5;79.7;80.5
Grenada;161;138;2;1;;;;
Côte d'Ivoire;34;738;0;0;70;77.5;80.7;78.8
Lesotho;148;201;1;-1;;;;
Turkey;13;983;1;-1;80;78.2;77.3;81
USA;29;810;3;1;80;76.2;75.7;76.8
Congo DR;51;596;1;0;68;73.2;75.3;74
Cyprus;80;425;1;-1;;;;
Andorra;202;5;0;0;;;;
Moldova;156;180;0;-1;63;;;
Malta;165;148;0;-1;;;;
Australia;50;600;1;-1;78;71.5;73;72
Netherlands;17;930;1;0;82;79.5;85.3;81.2
Congo;59;561;0;-1;65;69.2;71.3;69.2
Mali;65;551;0;-1;72;70.5;74;75
Belarus;77;464;0;-1;70;67;;70
Georgia;123;289;1;-1;72;68.8;65.3;71.8
Zambia;78;457;0;-1;;;;
Malaysia;174;116;0;0;;;;
Venezuela;74;476;1;-1;71;74.5;77;71.8
Peru;46;631;3;1;73;73.5;72.3;73
Mauritania;109;321;2;1;;;;
Armenia;110;316;7;1;;;;72.2
Paraguay;39;688;0;-1;75;74.5;76.7;74.8
Fiji;183;68;1;-1;;;;
Senegal;43;651;2;1;68;78;78;76.8
Belgium;2;1364;2;1;86;82;81.3;84.8
Solomon Islands;192;46;1;1;;;;
Qatar;83;416;1;-1;;;;
North Macedonia;141;234;3;1;63;66.2;72;68.2
Spain;6;1276;3;1;86;84.5;83.3;87.2
Timor-Leste;175;109;0;-1;;;;
Slovakia;32;784;3;1;72;77;69.3;76
Scotland;40;687;0;-1;76;73.2;74.7;75.5
Tanzania;129;274;1;0;;;;
Nepal;180;77;1;0;;;;
Estonia;93;366;0;-1;64;;;
New Caledonia;191;53;1;0;;;;
Norway;49;605;0;-1;73;73.2;74.3;74.8
Ukraine;22;879;4;1;79;76.5;72.3;74.8
Samoa;170;127;0;-1;;;;
Montenegro;94;364;0;-1;53;74;71.3;65.8
Cameroon;63;556;2;-1;78;79.8;78.7;76
Zambia;78;457;0;0;;;;
Slovenia;61;558;0;0;83;75.8;73;76.5
Malta;165;148;1;-1;;;;
Belarus;77;464;2;1;70;67;;70
Sudan;128;276;1;0;;;;
Nigeria;67;540;3;1;81;72;77.7;76
Israel;76;466;1;-1;64;;72.7;72.5
Fiji;183;68;1;1;;;;
New Zealand;161;163;5;1;66;71.2;66.7;67.5
Syria;110;316;0;-1;;;;
Uganda;72;490;0;-1;;;;
Finland;61;558;1;0;72;71.5;69;76
Guyana;132;269;2;-1;;;;
Russia;27;821;1;-1;81;78.8;76;79.8
Armenia;110;316;4;1;;;;72.2
Andorra;202;5;0;-1;;;;
Puerto Rico;152;190;3;0;66;;;
Lithuania;138;253;1;-1;74;;;
Samoa;170;127;0;-1;;;;
Iceland;35;724;2;-1;65;70;73;74.2
Tahiti;196;35;2;0;;;;
Netherlands;17;930;2;1;82;79.5;85.3;81.2
Korea Republic;54;591;1;-1;75;73.5;75.3;73.5
Suriname;188;56;0;-1;68;66.5;66;
Portugal;8;1181;0;-1;81;81.2;84.7;81.8
India;163;150;1;1;65;57.8;61;57.5
IR Iran;39;688;3;1;68;;67;
Timor-Leste;177;106;0;-1;;;;
Yemen;178;101;2;1;;;;
Algeria;32;786;2;1;68;76.2;79;76.8
Bangladesh;181;93;0;-1;;;;
Ukraine;19;894;3;1;79;76.5;72.3;74.8
Canada;93;363;1;0;63;67.5;66.3;71.8
Denmark;38;696;2;-1;76;78.8;76;78.8
Singapore;149;206;1;1;;;;
Trinidad and Tobago;64;550;2;-1;;66.5;;65.5
Tunisia;47;629;3;1;;71.5;68.7;75
Bulgaria;69;518;2;-1;72;68.8;68;74.5
Morocco;62;555;1;0;70;77;74.7;78.8
Cameroon;58;565;1;1;78;79.8;78.7;76
Georgia;137;260;1;-1;72;68.8;65.3;71.8
Sudan;128;278;0;-1;;;;
Moldova;159;164;1;-1;63;;;
Syria;101;335;2;-1;;;;
Jordan;80;434;3;1;;;;
Colombia;3;1328;2;1;78;76.8;83;80.5
Hong Kong;143;233;2;-1;;;;
Greece;40;677;0;-1;78;80.2;76;76.2
Netherlands;14;958;2;1;82;79.5;85.3;81.2
Uganda;72;499;2;1;;;;
Ecuador;13;978;0;0;72;69.2;76;76.5
Paraguay;44;637;0;0;75;74.5;76.7;74.8
San Marino;200;19;0;-1;;;;
Latvia;104;329;0;0;66;;;64.5
Vanuatu;185;72;3;1;;;;
Scotland;43;659;0;-1;76;73.2;74.7;75.5
South Africa;68;529;4;1;78;73.8;71.7;76
Hungary;20;885;0;-1;73;68.5;72.3;75.2
Peru;48;622;1;1;73;73.5;72.3;73
Gabon;88;387;1;-1;67;70.8;;72.5
Solomon Islands;176;110;0;-1;;;;
Mozambique;97;348;3;1;63;;;
Northern Ireland;25;851;0;0;68;74.2;67.7;72.2
Mali;63;554;3;1;72;70.5;74;75
Egypt;45;631;2;1;72;68.2;74;75.2
Guyana;130;271;7;1;;;;
Norway;51;592;2;-1;73;73.2;74.3;74.8
Angola;123;292;0;-1;;61;70.3;
Burkina Faso;73;479;1;1;;69;66.7;74
Korea Republic;50;603;2;1;75;73.5;75.3;73.5
Venezuela;77;456;1;1;71;74.5;77;71.8
Congo;60;559;1;-1;65;69.2;71.3;69.2
Ethiopia;125;287;2;1;;;;
Togo;95;357;2;0;76;;72;63
Congo DR;52;589;6;1;68;73.2;75.3;74
Ghana;37;728;2;1;70;74.8;75;78
Uruguay;9;1149;1;-1;82;81;84;77
Samoa;168;127;0;-1;;;;
Serbia;54;575;1;0;75;80.8;78.3;80
Turkey;18;918;1;1;80;78.2;77.3;81
Guinea;55;573;0;-1;;70.8;70.7;75
Wales;26;846;0;-1;73;76.5;75;76.2
New Caledonia;183;73;1;0;;;;
Jordan;80;434;0;-1;;;;
Syria;101;335;1;1;;;;
Malawi;107;319;0;-1;;;;
Chile;5;1293;1;-1;83;76.5;79.7;80.5
Hong Kong;143;233;0;-1;;;;
Liechtenstein;168;128;0;-1;62;;;
Finland;67;535;0;-1;72;71.5;69;76
Timor-Leste;177;106;0;-1;;;;
Bolivia;82;419;1;-1;63;66.2;68;67.5
Lithuania;127;281;0;0;74;;;
Vietnam;133;265;3;1;;;;
Greece;40;677;2;1;78;80.2;76;76.2
Tajikistan;164;149;1;1;;;;
Denmark;38;696;4;1;76;78.8;76;78.8
Chinese Taipei;191;56;0;-1;;;;
Uzbekistan;66;543;1;-1;;;;
Kazakhstan;112;311;1;1;;;;
Paraguay;44;637;1;-1;75;74.5;76.7;74.8
US Virgin Islands;194;43;0;-1;;;;
Laos;174;115;1;-1;;;;
Kyrgyz Republic;111;312;0;-1;70;;;
Bosnia and Herzegovina;20;885;2;1;82;76.5;74.7;77.5
Georgia;137;260;1;1;72;68.8;65.3;71.8
St. Kitts and Nevis;92;374;1;1;;;;
Costa Rica;23;852;0;-1;79;74.8;71.7;73.2
Maldives;174;114;0;-1;;;;
Haiti;74;477;1;-1;75;;;66.5
Peru;48;622;2;0;73;73.5;72.3;73
New Caledonia;183;73;0;-1;;;;
Solomon Islands;176;110;1;-1;;;;
Estonia;94;359;0;-1;64;;;
Jamaica;46;630;0;-1;67;71.5;69.7;69.5
Venezuela;77;456;1;1;71;74.5;77;71.8
Panama;56;571;0;-1;;;66.7;
Bolivia;82;419;1;-1;63;66.2;68;67.5
Romania;22;878;1;-1;76;76.5;72;74.8
Switzerland;15;947;1;1;82;80;78;79
Costa Rica;23;852;3;1;79;74.8;71.7;73.2
Russia;29;828;1;0;81;78.8;76;79.8
New Zealand;147;220;0;1;66;71.2;66.7;67.5
Madagascar;108;316;1;1;;;;
Paraguay;44;637;0;-1;75;74.5;76.7;74.8
Slovakia;24;851;1;-1;72;77;69.3;76
Eswatini;117;301;2;0;;;;
Equatorial Guinea;76;465;1;-1;63;;;
Peru;48;622;1;1;73;73.5;72.3;73
Haiti;74;477;0;-1;75;;;66.5
Ukraine;19;894;0;-1;79;76.5;72.3;74.8
Mauritius;142;238;0;-1;;;;
Angola;123;292;0;-1;;61;70.3;
Northern Ireland;25;851;0;-1;68;74.2;67.7;72.2
Croatia;27;842;1;1;81;78.8;78.3;81.5
Italy;12;982;2;1;84;83.8;81.7;83.8
Sweden;35;735;1;0;73;77;80.7;76.8
Zimbabwe;115;302;0;0;;;69;68.5
Venezuela;77;456;1;0;71;74.5;77;71.8
Czech Republic;30;815;0;-1;85;75.5;73.7;76.2
Seychelles;180;93;0;-1;;;;
Jamaica;46;630;0;-1;67;71.5;69.7;69.5
Lesotho;155;184;2;1;;;;
Bolivia;82;419;0;-1;63;66.2;68;67.5
Hungary;20;885;2;1;73;68.5;72.3;75.2
Panama;56;571;2;-1;;;66.7;
Malawi;107;319;1;1;;;;
Iceland;34;751;1;0;65;70;73;74.2
Albania;42;666;0;-1;73;70.8;69.7;72
Switzerland;15;947;1;0;82;80;78;79
Slovakia;24;851;2;1;72;77;69.3;76
Madagascar;108;316;0;-1;;;;
Seychelles;180;93;0;-1;;;;
Mauritius;142;238;2;1;;;;
Wales;26;846;1;-1;73;76.5;75;76.2
Poland;27;842;0;0;79;78.2;79;79
Lesotho;155;184;1;1;;;;
Northern Ireland;25;851;2;1;68;74.2;67.7;72.2
Ecuador;13;978;1;-1;72;69.2;76;76.5
Croatia;27;842;2;0;81;78.8;78.3;81.5
Sweden;35;735;0;-1;73;77;80.7;76.8
Colombia;3;1328;0;1;78;76.8;83;80.5
Turkey;18;918;0;-1;80;78.2;77.3;81
Venezuela;77;456;1;-1;71;74.5;77;71.8
Republic of Ireland;33;768;0;-1;75;76.8;76;77
Hungary;20;885;1;0;73;68.5;72.3;75.2
Chile;5;1293;7;1;83;76.5;79.7;80.5
Botswana;87;390;1;1;;;;
Austria;10;1077;0;0;72;80.2;72.3;77.5
Lesotho;155;184;1;-1;;;;
Mozambique;97;348;0;-1;63;;;
Switzerland;15;947;0;0;82;80;78;79
Albania;42;666;1;1;73;70.8;69.7;72
Eswatini;117;301;0;1;;;;
Wales;26;846;3;1;73;76.5;75;76.2
England;11;1069;0;0;84;83;81;83.2
Spain;6;1266;1;-1;86;84.5;83.3;87.2
Turkey;18;918;2;1;80;78.2;77.3;81
Zambia;79;436;3;1;;;;
Mozambique;97;348;0;-1;63;;;
Germany;4;1310;1;1;90;84.8;81.7;86.8
Poland;27;842;1;1;79;78.2;79;79
Argentina;1;1503;4;1;79;82.5;88.7;84
Congo DR;52;589;0;-1;68;73.2;75.3;74
Chile;5;1293;2;1;83;76.5;79.7;80.5
Portugal;8;1181;3;0;81;81.2;84.7;81.8
Austria;10;1077;1;-1;72;80.2;72.3;77.5
Republic of Ireland;33;768;1;1;75;76.8;76;77
Malaysia;173;116;2;1;;;;
Eswatini;117;301;1;-1;;;;
Belgium;2;1383;1;1;86;82;81.3;84.8
Zambia;79;436;0;-1;;;;
Portugal;8;1181;1;1;81;81.2;84.7;81.8
Botswana;87;390;2;-1;;;;
Congo DR;52;589;0;-1;68;73.2;75.3;74
Poland;27;842;1;1;79;78.2;79;79
Colombia;3;1328;1;1;78;76.8;83;80.5
Northern Ireland;25;851;0;-1;68;74.2;67.7;72.2
Chile;5;1293;0;1;83;76.5;79.7;80.5
Malaysia;173;116;1;0;;;;
Republic of Ireland;33;768;1;-1;75;76.8;76;77
Slovakia;24;851;0;-1;72;77;69.3;76
Belgium;2;1383;4;1;86;82;81.3;84.8
Iceland;34;751;2;1;65;70;73;74.2
Spain;6;1266;0;-1;86;84.5;83.3;87.2
Mongolia;203;4;2;0;;;;
Portugal;8;1181;1;1;81;81.2;84.7;81.8
Belgium;2;1383;1;-1;86;82;81.3;84.8
Italy;12;982;1;-1;84;83.8;81.7;83.8
Chinese Taipei;191;56;2;1;;;;
Iceland;34;751;2;-1;65;70;73;74.2
Wales;26;846;0;-1;73;76.5;75;76.2
Germany;4;1310;0;-1;90;84.8;81.7;86.8
Portugal;8;1181;1;1;81;81.2;84.7;81.8
Iraq;99;354;1;-1;;;64;67.5
Singapore;158;174;1;-1;;;;
Turkmenistan;120;312;0;-1;;;;
Iraq;99;354;1;-1;;;64;67.5
India;152;199;3;1;65;57.8;61;57.5
Qatar;80;424;3;1;;;;
Korea DPR;99;354;1;0;;;;
Nicaragua;107;340;0;-1;;;;
United Arab Emirates;74;483;0;-1;;;;
Laos;177;106;0;-1;;;;
Burkina Faso;73;486;0;-1;;69;66.7;74
Syria;105;340;0;0;;;;
Puerto Rico;114;332;0;-1;66;;;
Guinea;66;521;1;0;;70.8;70.7;75
Kazakhstan;96;358;0;-1;;;;
Kenya;88;380;0;0;68;;;
Morocco;53;573;0;0;70;77;74.7;78.8
Armenia;102;348;0;-1;;;;72.2
Liechtenstein;182;88;0;-1;62;;;
Malta;176;109;1;0;;;;
Finland;61;539;0;-1;72;71.5;69;76
Oman;107;339;0;-1;71;;;
Jordan;79;436;1;0;;;;
Belarus;70;506;1;1;70;67;;70
Russia;38;728;0;0;81;78.8;76;79.8
Uruguay;12;1129;0;-1;83;82.8;85;78.2
Iraq;113;336;0;-1;;66.5;;68
Singapore;159;166;1;-1;;;;
Spain;8;1165;2;1;90;86.2;85.3;86.8
Peru;33;777;3;1;74;73.5;73.7;73
Venezuela;46;620;0;-1;72;74.8;76.3;76
Brazil;9;1155;3;1;83;86.5;87;84
Cambodia;180;99;2;-1;;;;
Qatar;80;424;0;-1;;;;
France;7;1188;3;1;88;83.8;87;85.2
United Arab Emirates;74;483;2;1;;;;
China PR;78;445;2;-1;73;70;72;71
Bangladesh;183;84;0;-1;;;;
Greece;52;579;2;1;82;81;77.3;77.8
Chile;5;1316;1;-1;85;77.8;80;82
Thailand;120;305;0;-1;;;;
Syria;105;340;0;-1;;;;
Mexico;14;1041;3;1;80;78.8;80.7;80.8
Costa Rica;21;883;1;1;85;75.5;68.3;76.8
Canada;100;350;1;-1;65;67.5;71.3;72.8
Luxembourg;145;218;1;-1;66;66.5;;
Jamaica;71;491;0;-1;72;73;72;69.8
Mauritania;104;343;1;0;;;;
USA;26;848;6;1;81;77.5;74.3;75.8
Gabon;96;359;2;1;72;70.8;;73.5
Guatemala;82;393;2;0;73;;;
Madagascar;129;273;1;0;;;;
Gambia;163;154;0;-1;;67.5;64.3;69.2
Libya;93;366;1;1;;;66;
Seychelles;183;85;1;-1;;;;
Rwanda;121;302;1;0;;;;
Puerto Rico;114;332;1;-1;67;;;
Sierra Leone;88;381;1;0;;;71;
Mauritius;142;224;0;-1;;;;
Tanzania;124;295;0;-1;;;;
Namibia;121;302;0;-1;;;;
Lesotho;146;214;0;-1;;;;
Jordan;79;436;0;0;;;;
Botswana;90;378;1;-1;;;;
Guinea-Bissau;75;473;0;-1;;;70.3;70
Central African Republic;87;386;1;-1;60;;;
Northern Ireland;28;822;0;0;70;74.8;71;73.2
Armenia;102;348;0;-1;;;65.3;75
South Sudan;153;197;0;-1;;;;
Poland;16;1011;2;0;80;78.8;81.3;79.5
Slovenia;59;542;2;0;87;76.2;75.7;76.8
Eswatini;103;344;0;-1;;;;
Scotland;51;583;5;1;76;74;74.3;76.2
Germany;4;1319;3;1;92;87.2;81.3;88
Montenegro;95;364;1;0;55;75.5;77;69
Azerbaijan;136;252;1;1;68;;;64.8
England;13;1107;1;1;84;83.5;83.3;82
Liberia;92;369;1;-1;;;;
Comoros;155;190;0;-1;72;;;65.5
Kenya;88;380;1;0;67;;;70
North Macedonia;138;243;1;-1;70;;70;65.5
Turkey;19;915;1;0;81;80.2;78;81.2
Kosovo;190;65;1;0;72;67;72.7;71.8
Austria;22;874;2;1;75;78;74.7;81.8
Italy;10;1155;3;1;88;85.8;82.7;84
Afghanistan;150;206;0;-1;;;;
Republic of Ireland;31;800;2;0;76;77.2;76.7;78
Liechtenstein;182;88;0;-1;64;;;
Iceland;23;870;1;0;67;71;74;76.2
Moldova;165;151;0;-1;;;;
Latvia;110;338;1;1;66;;68;
Bhutan;192;63;0;0;;;;
France;7;1188;0;0;88;83.8;87;85.2
Estonia;117;322;0;-1;63;69.5;;
Colombia;3;1330;1;-1;79;78.2;81.3;81.2
Luxembourg;145;218;3;-1;66;66.5;;
Gabon;96;359;1;-1;72;70.8;;73.5
El Salvador;137;243;1;-1;;;;
Bolivia;110;338;0;-1;66;68;70;68.5
IR Iran;39;674;0;0;71;;72;
Panama;69;507;1;-1;;67.5;66.3;68.5
Belgium;2;1400;3;1;89;83.8;86.7;82.5
Hungary;19;914;0;0;73;71.2;74.3;75.2
Malaysia;167;148;0;-1;;;;
Saudi Arabia;61;539;2;1;73;72.5;70.7;72.2
Haiti;101;348;2;1;;66.8;;66.8
Philippines;134;255;2;1;65;;;
Laos;177;106;0;-1;;;;
Honduras;84;390;0;0;;71.2;68.3;66
Tajikistan;144;222;1;0;;;;
Ecuador;17;1001;1;-1;74;73.8;76;76.2
Uzbekistan;55;560;1;1;;;;
Ghana;35;749;0;-1;69;75.5;76.7;78
Egypt;43;631;0;-1;73;71;71.3;75.5
Netherlands;26;848;1;0;81;80.8;80.7;83
Portugal;6;1265;0;-1;84;83.2;86.7;83.5
Korea Republic;48;608;0;0;74;74;75.3;77.2
Japan;49;594;2;1;73;74.5;76.3;79.5
Australia;57;549;1;1;79;71.8;73.7;74.5
Paraguay;42;636;0;-1;76;76;77;77
Trinidad and Tobago;68;510;0;-1;;66.8;;
Argentina;1;1584;2;0;82;83.8;90;84.2
Serbia;50;602;0;-1;76;80.2;77;80.8
Angola;134;246;1;0;;69.8;71.3;
Kenya;91;378;1;1;67;;;70
Uganda;65;509;0;-1;;;61;
Antigua and Barbuda;89;380;0;-1;;;;
New Caledonia;162;152;3;1;;;;
Palestine;118;302;3;0;;;;
Dominican Republic;114;315;0;-1;;;;
Wales;10;1160;2;0;75;78;77;77.2
Bolivia;75;468;0;-1;66;68;70;68.5
Hong Kong;142;220;2;1;;;;
Syria;114;314;1;1;;;;
Chile;6;1283;0;-1;85;77.8;80;82
Finland;84;409;2;-1;78;72;74;72.8
Georgia;137;239;0;-1;73;71;64.7;74
Spain;11;1140;1;0;90;86.2;85.3;86.8
Iraq;128;279;1;-1;;66.5;;68
Qatar;85;389;2;-1;;;;
Croatia;14;1059;6;1;83;81;80;84.5
Lebanon;143;217;0;0;;;;
Albania;40;677;2;1;75;73.2;69.3;72.8
Israel;98;346;2;1;;;73.3;74.8
Canada;103;328;4;1;65;67.5;71.3;72.8
Serbia;50;602;3;1;76;80.2;77;80.8
Colombia;4;1323;1;1;79;78.2;81.3;81.2
Argentina;1;1645;2;0;82;83.8;90;84.2
Australia;45;643;2;0;79;71.8;73.7;74.5
Ukraine;29;799;2;0;80;77.2;76.3;77.8
Thailand;135;245;1;-1;;;;
Venezuela;60;561;0;-1;72;74.8;76.3;76
IR Iran;37;712;1;1;71;;72;
Korea DPR;118;301;2;-1;;;;
Bosnia and Herzegovina;23;863;0;-1;83;76.5;78;79.5
USA;22;874;2;1;81;77.5;74.3;75.8
Gibraltar;205;0;0;-1;;;;
Bulgaria;74;470;1;-1;74;70.5;67.3;73.8
Uganda;65;509;0;0;;;61;
Cyprus;87;384;0;-1;;;;
Switzerland;16;1020;3;1;84;80;75.7;80
Faroe Islands;111;318;2;1;;;;
Sweden;41;677;1;1;73;78.2;82;77.2
Belarus;57;572;1;-1;69;71;;69.5
Jordan;86;386;1;0;;;;
Bahrain;126;283;3;1;;;;
Andorra;203;11;0;-1;;;;
Malaysia;158;157;0;0;;;;
Romania;32;772;5;1;77;76;74.7;75.2
Norway;70;487;0;-1;77;74.8;72.7;76.2
Honduras;82;421;2;1;;71.2;68.3;66
South Africa;62;539;1;0;76;73;72.7;75
Libya;76;466;0;-1;;;66;
Malta;176;99;0;-1;;;;
Morocco;58;569;0;0;71;77;77.3;79.2
